nxpsi   ,\\psi_{nx},1,sectoral output elasticity ratio,"0,1","The ratio of sectoral output elasticities is set independently. This ratio and other values assigned elsewhere in calibrating the model -- most notably, the return on infrastructure -- pin down sectoral output elasticity in each sector. We assume that the ratio of elasticities is equal to 1 in all runs."
delta_n ,\\delta_{n},0.05,depreciation rate of non-traded capital inputs,"15,16,21,22",There is little hard data on depreciation rates in LICs. Our choice of 5% is in line with estimates for developed countries.
delta_x ,\\delta_{x},0.05,depreciation rate of traded capital inputs,"14,16,20,22",There is little hard data on depreciation rates in LICs. Our choice of 5% is in line with estimates for developed countries.
delta_z ,\\delta_{z},0.05,depreciation rate of public capital inputs,"26,28,32",There is little hard data on depreciation rates in LICs. Our choice of 5% is in line with estimates for developed countries.
omega   ,\\Omega,2,elasticity of investment with respect to tobin's q,,"This parameters is the elasticity of investment with respect to Tobin’s q. There are no reliable estimates of this elasticity for LICs. The assigned value, 2, is at the high end of estimates for developed countries. The results do not change substantively when it equals 1 or 10."
fo           ,f,0.5,fraction of recurrent costs to user fees for infrastructure,"13,29,33","The user fee for infrastructure services is a fixed multiple/fraction of recurrent costs. Fuel taxes, which are earmarked for road maintenance and construction, electricity tariffs, and user charges for water and sanitation are low but not trivial in LICs. According to Briceño-Garmendia et al. (2008), on average, user fees recoup 50% of recurrent costs in SSA. Again, however, there is considerable variation -- Zambia’s average electricity tariff was three cents per kWH in 2008. We decided therefore to let this share vary from 0.20 to unity, setting it to 0.5 in the base case."
g    ,g,0.015,trend per capita growth rate,"13,14,15,16,22,26,28,29,32,33,43",The trend growth rate of 1.5% equals the 1990-2008 per capita growth rate for SSA reported in African Development Indicators.
r_f   ,r^{f},0.04,risk-free foreign real interest rate,30,"We fix the risk-free foreign real interest rate at 4%, the approximate average of the historical real returns on stocks and 3-10 year T-bills in the United States."
r_dco        ,"\r_{dc,o}\",0.06,initial real interest rate on public commercial loans,,"Ghana paid 8.7% on the $750 mn. Eurobond it floated in 2007. This is slightly above Gueye and Sy’s (2010) estimate of the average interest rate SSA pays (8.55%) on debt raised in external capital markets, excluding Seychelles and South Africa. The IMF-WB’s DSAs show an average interest rate of 2.3% on concessional loans taken out by LICs in 2009-2010. Assuming 2.5% inflation in world prices of traded goods, the corresponding (initial) real rates in dollars are about 6% for commercial debt and 0% for concessional debt. The latter is assumed to be constant through the analysis."
ro           ,r_{o},0.1,initial real interest rate on domestic loans,,Real interest rate on domestic debt should match country-specific data.
eta          ,\\eta,1,portfolio adjustment costs parameter,17,The portfolio adjustment cost parameter controls the degree of openness of the capital account. We set it equal to 1 in the base case to capture the fact that the private sector has limited access to international capital markets. We assume that the public risk premium is constant and set equal to zero.
etag    ,\\eta_{g},0,public debt risk premium,30,The portfolio adjustment cost parameter controls the degree of openness of the capital account. We set it equal to 1 in the base case to capture the fact that the private sector has limited access to international capital markets. We assume that the public risk premium is constant and set equal to zero.
R_zo ,R_o,0.3,initial return on infrastructure,"0,1","Estimates of the return on infrastructure are all over the map, but the weight of the evidence in both micro and macro studies points to a high average return. The median rate of return on World Bank projects circa 2001 was 20% in SSA and 15-29% for various sub-categories of infrastructure investment. Foster and Briceño-Garmendia (2010) estimate returns for electricity, water and sanitation, irrigation, and roads range from 17% to 24%. Similarly, the macro-based estimates in Dalgaard and Hansen (2005) cluster between 15% and 30% for a wide array of different estimators. Hulten  et al. (2006), Escribano et al. (2008), Calderón et al. (2009), and Calderón and Servén (2010) supply additional evidence of high returns. All of this adds up to a presumption that high returns are the norm. We consider a high-return scenario as the base case by setting the return on infrastructure to 0.25 at the initial steady state."
share_b      ,b_o,0.2,initial public domestic debt-to-gdp ratio,,"Different datasets give different numbers for the ratio of domestic debt to GDP in LICs. We settled on 20% by averaging the figures reported in IMF (2009a), Panizza (2008), and Arnone and Presbitero (2010)."
share_bstar  ,\\bar{b}^{\\mathfrak{s}\\ast},0,initial private external debt-to-gdp ratio,17,"We set concessional external debt equal to 50% of GDP at the initial equilibrium, given that the ratio of total public debt to GDP and the share of concessional loans in total debt were about 70% and 69%, respectively, for LICs during 2007-2008. As little is known about the likely value of private foreign debt (or assets) in LICs, we set this ratio to zero for the base case. We also assume that initially the economy has no access to external commercial loans implying that this value is zero as well."
share_d      ,\\bar{d},0.5,initial public concessional debt-to-gdp ratio,30,"We set concessional external debt equal to 50% of GDP at the initial equilibrium, given that the ratio of total public debt to GDP and the share of concessional loans in total debt were about 70% and 69%, respectively, for LICs during 2007-2008. As little is known about the likely value of private foreign debt (or assets) in LICs, we set this ratio to zero for the base case. We also assume that initially the economy has no access to external commercial loans implying that this value is zero as well."
share_dc     ,\\bar{d}_{c},0,initial public external commercial debt-to-gdp ratio,30,"We set concessional external debt equal to 50% of GDP at the initial equilibrium, given that the ratio of total public debt to GDP and the share of concessional loans in total debt were about 70% and 69%, respectively, for LICs during 2007-2008. As little is known about the likely value of private foreign debt (or assets) in LICs, we set this ratio to zero for the base case. We also assume that initially the economy has no access to external commercial loans implying that this value is zero as well."
share_remit  ,\\mathcal{R}_o,0.04,initial remittances-to-gdp ratio,43,"For the base case, remittances and grants are assumed to be 5% and 4% of GDP at their initial equilibrium, respectively. These are in line with averages for LICs in the last decade. For the baseline calibration we assume that the economy is not endowed with natural resources."
share_grants ,\\mathcal{G}_o,0.05,initial grants-to-gdp ratio,"29,33,43","For the base case, remittances and grants are assumed to be 5% and 4% of GDP at their initial equilibrium, respectively. These are in line with averages for LICs in the last decade. For the baseline calibration we assume that the economy is not endowed with natural resources."
oilro   ,\\mathcal{N}_o,0,initial natural resource revenue-to-gdp ratio,"29,33,43","For the base case, remittances and grants are assumed to be 5% and 4% of GDP at their initial equilibrium, respectively. These are in line with averages for LICs in the last decade. For the baseline calibration we assume that the economy is not endowed with natural resources."
izy          ,\\bar{\\imath}_{z},0.06,initial infrastructure investment-to-gdp ratio,"28,31","We set the initial infrastructure investment to be equal to 6% of GDP. This initial figure includes the net investment associated with trend growth and the outlays on operations and maintenance (O+M), which average about 3.4% of GDP for LICs in SSA. This figure is close to the average for LICs in SSA, which in 2008 corresponded to 6.09%, as suggested by Briceño-Garmendia et al. (2008)"
s    ,s,0.6,efficiency of public investment,"27,28","The base case assumes that investment is somewhat effcient (parameters set to 0.6) and that scaling up does not strain absorptive capacity (capacity constrant set to zero). Motivated by the findings in Hulten (1996), Pritchett (2000), and Foster and Briceño-Garmendia (2010), we also investigate scenarios in which the scaling up is associated with extreme ineffciency (parameter set to 0.2) and a tight absorptive capacity constraint (parameter set to 5)."
s_s  ,\\bar{s},0.6,steady state efficiency of public investment,"27,28","The base case assumes that investment is somewhat effcient (parameters set to 0.6) and that scaling up does not strain absorptive capacity (capacity constrant set to zero). Motivated by the findings in Hulten (1996), Pritchett (2000), and Foster and Briceño-Garmendia (2010), we also investigate scenarios in which the scaling up is associated with extreme ineffciency (parameter set to 0.2) and a tight absorptive capacity constraint (parameter set to 5)."
phi     ,\\phi,0,absorptive capacity constraint parameter,32,"The base case assumes that investment is somewhat effcient (parameters set to 0.6) and that scaling up does not strain absorptive capacity (capacity constrant set to zero). Motivated by the findings in Hulten (1996), Pritchett (2000), and Foster and Briceño-Garmendia (2010), we also investigate scenarios in which the scaling up is associated with extreme ineffciency (parameter set to 0.2) and a tight absorptive capacity constraint (parameter set to 5)."
ho           ,h_o,0.15,initial consumption vat,"33,34,35","The consumption VAT in the model proxies for the average indirect tax rate. Our rate is  15% at the initial steady state. This is comparable to the average VAT of LICs, which using 2005-06 data by the International Bureau of Fiscal Documentation is estimated to be close to 15.8%."
a_ratio      ,a,1.5,ratio of labor supply of non-savers to labor supply of savers,"13,25","We set this ratio to 1.5, so 60% percent of the consumers are non-savers. This is broadly in line with survey findings in LICs."
imp2gdp      ,---,30.5,imports-to-gdp ratio,,"This is used to pin down the distribution of imports, tradable, and non-tradables in the economy. (not in the paper)"
VA_n,---,0.494,value added in non-traded sector,,"This is used to pin down the distribution of imports, tradable, and non-tradables in the economy. (not in the paper)"
